id;fopt;fhist;precision;runs
f1_1_2_RS-200-50;79.6922992318354;79.48;0.002667539928240744;200
f1_1_2_GD-10000-1-1.0E-5;79.48000000005;79.48;6.290109069962874E-13;13
f1_1_2_NGD-1000-50-10-1.0E-5;79.48000000004996;79.48;6.284745133860008E-13;6010
f1_1_2_NSGA2-20-1-50-200;82.33865287698158;79.48;0.035331561920179826;10050
f1_1_2_NSGA2-20-1-10000-100-0.2;79.47999999999996;79.48;5.363936102869403E-16;10001
f1_1_2_GBPSO-500-20;79.48;79.48;0.0;10000
f1_2_2_RS-200-50;394.4996178057564;394.48;4.972956287746365E-5;200
f1_2_2_GD-10000-1-1.0E-5;394.48000000005015;394.48;1.2709363069161804E-13;13
f1_2_2_NGD-1000-50-10-1.0E-5;394.4800000000499;394.48;1.2651724234381028E-13;6010
f1_2_2_NSGA2-20-1-50-200;403.57300572726444;394.48;0.022787974387686153;10050
f1_2_2_NSGA2-20-1-10000-100-0.2;394.48;394.48;0.0;10001
f1_2_2_GBPSO-500-20;394.48;394.48;0.0;10000
f1_3_2_RS-200-50;-247.0071856559692;-247.11;4.1615368586831174E-4;200
f1_3_2_GD-10000-1-1.0E-5;-247.10999999994996;-247.11;2.0254392904757607E-13;13
f1_3_2_NGD-1000-50-10-1.0E-5;-247.10999999995016;-247.11;2.0173881405420119E-13;13510
f1_3_2_NSGA2-20-1-50-200;-204.3272792283291;-247.11;0.18954004350195525;10050
f1_3_2_NSGA2-20-1-10000-100-0.2;-247.1100000000004;-247.11;1.6102299867494467E-15;10001
f1_3_2_GBPSO-500-20;-247.11;-247.11;0.0;10000
f1_4_2_RS-200-50;-151.97697425612427;-152.04;4.1461990094427944E-4;200
f1_4_2_GD-10000-1-1.0E-5;-152.03999999995;-152.04;3.288199611160804E-13;13
f1_4_2_NGD-1000-50-10-1.0E-5;-152.03999999995008;-152.04;3.282591539055356E-13;9460
f1_4_2_NSGA2-20-1-50-200;-150.12205085645385;-152.04;0.012694838005698381;10050
f1_4_2_NSGA2-20-1-10000-100-0.2;-152.0400000000002;-152.04;1.3085501579375688E-15;10001
f1_4_2_GBPSO-500-20;-152.04;-152.04;0.0;10000
f1_5_2_RS-200-50;-25.20651242842376;-25.25;0.0017237644650105292;200
f1_5_2_GD-10000-1-1.0E-5;-25.24999999995;-25.25;1.9802333590292183E-12;13
f1_5_2_NGD-1000-50-10-1.0E-5;-25.249999999950017;-25.25;1.9795298513700482E-12;6160
f1_5_2_NSGA2-20-1-50-200;59.567945114869275;-25.25;2.0;10050
f1_5_2_NSGA2-20-1-10000-100-0.2;-25.250000000000032;-25.25;1.2663137865031482E-15;10001
f1_5_2_GBPSO-500-20;-25.25;-25.25;0.0;10000
f2_1_2_RS-200-50;-78.0734862210912;-209.88;0.9154708665531315;200
f2_1_2_GD-10000-1-1.0E-5;-208.20653791430678;-209.88;0.008005338292122759;97
f2_1_2_NGD-1000-50-10-1.0E-5;-209.8799879266956;-209.88;5.752479863384663E-8;61810
f2_1_2_NSGA2-20-1-50-200;1407059.4552952505;-209.88;2.0;10050
f2_1_2_NSGA2-20-1-10000-100-0.2;-209.88000000000008;-209.88;4.062565670440823E-16;10001
f2_1_2_GBPSO-500-20;-209.88;-209.88;0.0;10000
f2_2_2_RS-200-50;1116.315495036584;-92.09;2.0;200
f2_2_2_GD-10000-1-1.0E-5;-91.64949577759906;-92.09;0.004794877884438509;100
f2_2_2_NGD-1000-50-10-1.0E-5;-92.0899769224855;-92.09;2.505974306663563E-7;64810
f2_2_2_NSGA2-20-1-50-200;2.266949598544916E7;-92.09;2.0;10050
f2_2_2_NSGA2-20-1-10000-100-0.2;-92.09000000000003;-92.09;3.0862970388102945E-16;10001
f2_2_2_GBPSO-500-20;-92.09;-92.09;0.0;10000
f2_3_2_RS-200-50;590.1142975886218;-87.89;2.0;200
f2_3_2_GD-10000-1-1.0E-5;-87.83299645040731;-87.89;6.487887270779682E-4;115
f2_3_2_NGD-1000-50-10-1.0E-5;-87.8899791848839;-87.89;2.3683147760490458E-7;61210
f2_3_2_NSGA2-20-1-50-200;6.667597429145816E7;-87.89;2.0;10050
f2_3_2_NSGA2-20-1-10000-100-0.2;-87.89000000000004;-87.89;4.850672903129595E-16;10001
f2_3_2_GBPSO-500-20;-87.89;-87.89;0.0;10000
f2_4_2_RS-200-50;1720.2446981756057;320.19;1.3723102233337074;200
f2_4_2_GD-10000-1-1.0E-5;320.35662263270217;320.19;5.202513816007283E-4;115
f2_4_2_NGD-1000-50-10-1.0E-5;320.19000014433936;320.19;4.507928639016798E-10;71410
f2_4_2_NSGA2-20-1-50-200;2818729.5699571385;320.19;1.9995456766963846;10050
f2_4_2_NSGA2-20-1-10000-100-0.2;320.19000000000005;320.19;1.7753027533904246E-16;10001
f2_4_2_GBPSO-500-20;320.19;320.19;0.0;10000
f2_5_2_RS-200-50;-54.92762780423505;-104.24;0.619628160274094;200
f2_5_2_GD-10000-1-1.0E-5;-104.07398390445967;-104.24;0.0015939025544868795;142
f2_5_2_NGD-1000-50-10-1.0E-5;-104.23999978385635;-104.24;2.0735192556083626E-9;73510
f2_5_2_NSGA2-20-1-50-200;1177148.96772909;-104.24;2.0;10050
f2_5_2_NSGA2-20-1-10000-100-0.2;-104.24;-104.24;0.0;10001
f2_5_2_GBPSO-500-20;-104.24;-104.24;0.0;10000
f3_1_2_RS-200-50;-455.9217122321537;-462.09;0.013438363989601002;200
f3_1_2_GD-10000-1-1.0E-5;-457.11520970302786;-462.09;0.010824112492964106;61
f3_1_2_NGD-1000-50-10-1.0E-5;-461.0950409029054;-462.09;0.0021554922426417922;58960
f3_1_2_NSGA2-20-1-50-200;-236.0675325108126;-462.09;0.6474827154734935;10050
f3_1_2_NSGA2-20-1-10000-100-0.2;-461.09504094290685;-462.09;0.002155492155888731;10001
f3_1_2_GBPSO-500-20;-462.09;-462.09;0.0;10000
f3_2_2_RS-200-50;79.45265244721509;77.66;0.022819962864765016;200
f3_2_2_GD-10000-1-1.0E-5;82.63479026947199;77.66;0.062070517215298916;37
f3_2_2_NGD-1000-50-10-1.0E-5;82.6347902668827;77.66;0.06207051718399498;42610
f3_2_2_NSGA2-20-1-50-200;254.71678152984336;77.66;1.0653980143552586;10050
f3_2_2_NSGA2-20-1-10000-100-0.2;77.65999999999998;77.66;1.829880854391193E-16;10001
f3_2_2_GBPSO-500-20;77.66;77.66;0.0;10000
f3_3_2_RS-200-50;120.94432123434693;115.68;0.04449518297092772;200
f3_3_2_GD-10000-1-1.0E-5;123.63966242617542;115.68;0.06651908452052731;43
f3_3_2_NGD-1000-50-10-1.0E-5;120.65479026457432;115.68;0.04209951703687031;43810
f3_3_2_NSGA2-20-1-50-200;238.1546984164658;115.68;0.6922707069972671;10050
f3_3_2_NSGA2-20-1-10000-100-0.2;140.55372726543172;115.68;0.1941487370213765;10001
f3_3_2_GBPSO-500-20;115.68;115.68;0.0;10000
f3_4_2_RS-200-50;1.844080566888989;-3.71;2.0;200
f3_4_2_GD-10000-1-1.0E-5;30.11832419026279;-3.71;2.0;97
f3_4_2_NGD-1000-50-10-1.0E-5;14.199202578140035;-3.71;2.0;47110
f3_4_2_NSGA2-20-1-50-200;11.474257855623412;-3.71;2.0;10050
f3_4_2_NSGA2-20-1-10000-100-0.2;5.244601241487008;-3.71;2.0;10001
f3_4_2_GBPSO-500-20;-3.71;-3.71;0.0;10000
f3_5_2_RS-200-50;147.5371577373907;132.18;0.10980490336462358;200
f3_5_2_GD-10000-1-1.0E-5;157.05384513210976;132.18;0.1719981637747023;46
f3_5_2_NGD-1000-50-10-1.0E-5;137.15479026413388;132.18;0.03694131203217488;33310
f3_5_2_NSGA2-20-1-50-200;339.6976277461131;132.18;0.8795400143774772;10050
f3_5_2_NSGA2-20-1-10000-100-0.2;167.9979919595526;132.18;0.23864502341250166;10001
f3_5_2_GBPSO-500-20;132.18;132.18;0.0;10000
f4_1_2_RS-200-50;-450.27679835315473;-462.09;0.02589572892869046;200
f4_1_2_GD-10000-1-1.0E-5;-433.23644582595557;-462.09;0.06445370693239483;106
f4_1_2_NGD-1000-50-10-1.0E-5;-433.2364458232067;-462.09;0.06445370693873324;66760
f4_1_2_NSGA2-20-1-50-200;-406.0518019787302;-462.09;0.12909918147828736;10050
f4_1_2_NSGA2-20-1-10000-100-0.2;-462.08998879916527;-462.09;2.4239509276788883E-8;10001
f4_1_2_GBPSO-500-20;-462.09;-462.09;0.0;10000
f4_2_2_RS-200-50;87.65899042759477;77.66;0.12096602334350769;200
f4_2_2_GD-10000-1-1.0E-5;81.63983123419976;77.66;0.04996654677365838;121
f4_2_2_NGD-1000-50-10-1.0E-5;78.65496018069899;77.66;0.01273019779487298;41560
f4_2_2_NSGA2-20-1-50-200;347.51958801914753;77.66;1.2693910790797165;10050
f4_2_2_NSGA2-20-1-10000-100-0.2;86.614601241487;77.66;0.10901991146304536;10001
f4_2_2_GBPSO-500-20;77.66;77.66;0.0;10000
f4_3_2_RS-200-50;127.08646735233383;115.68;0.09397069930402942;200
f4_3_2_GD-10000-1-1.0E-5;119.65983124161208;115.68;0.033821994522688116;40
f4_3_2_NGD-1000-50-10-1.0E-5;116.67495914738868;115.68;0.008564130940347539;44710
f4_3_2_NSGA2-20-1-50-200;698.0058969526402;115.68;1.4313284748661044;10050
f4_3_2_NSGA2-20-1-10000-100-0.2;115.68000000081207;115.68;7.0199263644765984E-12;10001
f4_3_2_GBPSO-500-20;115.68;115.68;0.0;10000
f4_4_2_RS-200-50;2.38779586611249;-3.71;2.0;200
f4_4_2_GD-10000-1-1.0E-5;68.92025693675389;-3.71;2.0;40
f4_4_2_NGD-1000-50-10-1.0E-5;-2.715039771739697;-3.71;0.3097133289778529;48460
f4_4_2_NSGA2-20-1-50-200;53.69574064007061;-3.71;2.0;10050
f4_4_2_NSGA2-20-1-10000-100-0.2;45.04199746790479;-3.71;2.0;10001
f4_4_2_GBPSO-500-20;-3.71;-3.71;0.0;10000
f4_5_2_RS-200-50;143.5550073545872;132.18;0.08250680581852456;200
f4_5_2_GD-10000-1-1.0E-5;157.05384513897584;132.18;0.17199816381809702;52
f4_5_2_NGD-1000-50-10-1.0E-5;140.13966246512285;132.18;0.05845822804765172;27160
f4_5_2_NSGA2-20-1-50-200;286.41317924039095;132.18;0.7369120515545593;10050
f4_5_2_NSGA2-20-1-10000-100-0.2;132.18015891325206;132.18;1.2022481201707718E-6;10001
f4_5_2_GBPSO-500-20;132.18;132.18;0.0;10000
f5_1_2_RS-200-50;-7.941856031938054;-9.21;0.14787250612418473;200
f5_1_2_GD-10000-1-1.0E-5;-9.21;-9.21;0.0;43
f5_1_2_NGD-1000-50-10-1.0E-5;-9.21;-9.21;0.0;22660
f5_1_2_NSGA2-20-1-50-200;79.80056391844222;-9.21;2.0;10050
f5_1_2_NSGA2-20-1-10000-100-0.2;-9.210000000000013;-9.21;1.3501083469925888E-15;10001
f5_1_2_GBPSO-500-20;-9.21;-9.21;0.0;10000
f5_2_2_RS-200-50;658.3233486608132;655.99;0.003550673305099831;200
f5_2_2_GD-10000-1-1.0E-5;655.99;655.99;0.0;43
f5_2_2_NGD-1000-50-10-1.0E-5;655.99;655.99;0.0;20710
f5_2_2_NSGA2-20-1-50-200;677.5207406492165;655.99;0.032291814370740295;10050
f5_2_2_NSGA2-20-1-10000-100-0.2;655.9899999999998;655.99;3.466114962777361E-16;10001
f5_2_2_GBPSO-500-20;655.99;655.99;0.0;10000
f5_3_2_RS-200-50;68.01054143790806;66.71;0.019307247789046016;200
f5_3_2_GD-10000-1-1.0E-5;66.71;66.71;0.0;43
f5_3_2_NGD-1000-50-10-1.0E-5;66.71;66.71;0.0;20110
f5_3_2_NSGA2-20-1-50-200;159.2361518399575;66.71;0.8190106455585555;10050
f5_3_2_NSGA2-20-1-10000-100-0.2;66.70999999999994;66.71;8.520974195893876E-16;10001
f5_3_2_GBPSO-500-20;66.71;66.71;0.0;10000
f5_4_2_RS-200-50;944.9524764556998;941.67;0.003479738523911167;200
