id;fopt;fhist;precision;runs
f1_1_2_RS-200-10;79.67261399632203;79.48;0.0024204942851453882;2000
f1_1_2_GD-200-10--1.0;79.48000000005;79.48;6.290109069962874E-13;781
f1_1_2_NGD-20-10-10--1.0;79.48000000005;79.48;6.290109069962874E-13;2493
f1_1_2_NSGA2-10-10-10-19;79.48529029153633;79.48;6.655907747690094E-5;2000
f1_1_2_KalmanNSGA2-10-10-0.5-1.0;79.51648434662452;79.48;4.5893274652514173E-4;2000
f1_1_2_NSGA2-10-10-200-100-0.2;79.48000002121732;79.48;2.669516567404924E-10;2010
f1_1_2_GBPSO-200-10;79.48;79.48;0.0;2000
f1_2_2_RS-200-10;394.507750197985;394.48;7.03437993251687E-5;2000
f1_2_2_GD-200-10--1.0;394.48000000005;394.48;1.266613394307622E-13;811
f1_2_2_NGD-20-10-10--1.0;394.48000000005;394.48;1.266613394307622E-13;2463
f1_2_2_NSGA2-10-10-10-19;395.92485511823327;394.48;0.00365598745725599;2000
f1_2_2_KalmanNSGA2-10-10-0.5-1.0;394.68478590802215;394.48;5.189940343992983E-4;2000
f1_2_2_NSGA2-10-10-200-100-0.2;394.4800002643676;394.48;6.701673081599475E-10;2010
f1_2_2_GBPSO-200-10;394.48;394.48;0.0;2000
f1_3_2_RS-200-10;-246.99066367589603;-247.11;4.830445813052445E-4;2000
f1_3_2_GD-200-10--1.0;-247.10999999995002;-247.11;2.023138961923261E-13;151
f1_3_2_NGD-20-10-10--1.0;-247.10999999999942;-247.11;2.4153449801241748E-15;2079
f1_3_2_NSGA2-10-10-10-19;-245.18891169926923;-247.11;0.007804560420821416;2000
f1_3_2_KalmanNSGA2-10-10-0.5-1.0;-247.0435437715137;-247.11;2.6896995609544623E-4;2000
f1_3_2_NSGA2-10-10-200-100-0.2;-247.1099999563357;-247.11;1.7669985279226595E-10;2010
f1_3_2_GBPSO-200-10;-247.11;-247.11;0.0;2000
f1_4_2_RS-200-10;-152.00086011439137;-152.04;2.574646420477428E-4;2000
f1_4_2_GD-200-10--1.0;-152.03999999995;-152.04;3.288199611160804E-13;121
f1_4_2_NGD-20-10-10--1.0;-152.03999999995003;-152.04;3.286330253792322E-13;2226
f1_4_2_NSGA2-10-10-10-19;-151.93983409912082;-152.04;6.590299068754305E-4;2000
f1_4_2_KalmanNSGA2-10-10-0.5-1.0;-151.83441455753425;-152.04;0.001353094782692356;2000
f1_4_2_NSGA2-10-10-200-100-0.2;-152.03999999984939;-152.04;9.905724695592305E-13;2010
f1_4_2_GBPSO-200-10;-152.04;-152.04;0.0;2000
f1_5_2_RS-200-10;-25.233495641717386;-25.25;6.538516429110017E-4;2000
f1_5_2_GD-200-10--1.0;-25.24999999995;-25.25;1.9802333590292183E-12;151
f1_5_2_NGD-20-10-10--1.0;-25.24999999995006;-25.25;1.9778414329880408E-12;2675
f1_5_2_NSGA2-10-10-10-19;-24.933029653400467;-25.25;0.012632571161556177;2000
f1_5_2_KalmanNSGA2-10-10-0.5-1.0;-20.46967904623293;-25.25;0.20911437059446922;2000
f1_5_2_NSGA2-10-10-200-100-0.2;-25.24999999993911;-25.25;2.4114835541004043E-12;2010
f1_5_2_GBPSO-200-10;-25.25;-25.25;0.0;2000
f2_1_2_RS-200-10;-197.07486075139215;-209.88;0.06293149675108796;2000
f2_1_2_GD-200-10--1.0;-208.20653791430678;-209.88;0.008005338292122759;961
f2_1_2_NGD-20-10-10--1.0;-209.87000944088717;-209.88;4.760242472003537E-5;2132
f2_1_2_NSGA2-10-10-10-19;28504.798423221837;-209.88;2.0;2000
f2_1_2_KalmanNSGA2-10-10-0.5-1.0;-186.25788273306668;-209.88;0.11926209684344088;2000
f2_1_2_NSGA2-10-10-200-100-0.2;-209.87996787152346;-209.88;1.5308023152544922E-7;2010
f2_1_2_GBPSO-200-10;-209.88;-209.88;0.0;2000
f2_2_2_RS-200-10;459.593094805428;-92.09;2.0;2000
f2_2_2_GD-200-10--1.0;-91.64949577759906;-92.09;0.004794877884438509;991
f2_2_2_NGD-20-10-10--1.0;-91.53534606152787;-92.09;0.006041147917415268;2793
f2_2_2_NSGA2-10-10-10-19;-92.08989262525846;-92.09;1.1659768068663793E-6;2000
f2_2_2_KalmanNSGA2-10-10-0.5-1.0;-90.91530128918382;-92.09;0.012837865379210365;2000
f2_2_2_NSGA2-10-10-200-100-0.2;-92.08891390508178;-92.09;1.179391163943312E-5;2010
f2_2_2_GBPSO-200-10;-92.08999999999412;-92.09;6.388634870337515E-14;2000
f2_3_2_RS-200-10;745.9910296555355;-87.89;2.0;2000
f2_3_2_GD-200-10--1.0;-87.83299645040731;-87.89;6.487887270779682E-4;1141
f2_3_2_NGD-20-10-10--1.0;-87.57369611785288;-87.89;0.0036053484469479587;2282
f2_3_2_NSGA2-10-10-10-19;-82.53444188323816;-87.89;0.06284964829670454;2000
f2_3_2_KalmanNSGA2-10-10-0.5-1.0;-60.17109972365767;-87.89;0.3744251572908359;2000
f2_3_2_NSGA2-10-10-200-100-0.2;-87.88993735268866;-87.89;7.12792509566554E-7;2010
f2_3_2_GBPSO-200-10;-87.88999999999999;-87.89;1.6168909677098653E-16;2000
f2_4_2_RS-200-10;385.3402985971192;320.19;0.18468462297555321;2000
f2_4_2_GD-200-10--1.0;320.35662263270217;320.19;5.202513816007283E-4;1141
f2_4_2_NGD-20-10-10--1.0;320.34232375642733;320.19;4.756161423174622E-4;2342
f2_4_2_NSGA2-10-10-10-19;320.68375045848455;320.19;0.0015408665376958374;2000
f2_4_2_KalmanNSGA2-10-10-0.5-1.0;321.940190964885;320.19;0.00545120285422218;2000
f2_4_2_NSGA2-10-10-200-100-0.2;320.19015383952046;320.19;4.804631109893002E-7;2010
f2_4_2_GBPSO-200-10;320.1900000000006;320.19;1.952833028729466E-15;2000
f2_5_2_RS-200-10;-38.072046651171895;-104.24;0.9298995398613814;2000
f2_5_2_GD-200-10--1.0;-104.07398390445967;-104.24;0.0015939025544868795;1411
f2_5_2_NGD-20-10-10--1.0;-104.08811922617929;-104.24;0.0014580919213868792;2312
f2_5_2_NSGA2-10-10-10-19;-3.937789809504679;-104.24;1.8543956271822926;2000
f2_5_2_KalmanNSGA2-10-10-0.5-1.0;-22.258934732593463;-104.24;1.2961542394124757;2000
f2_5_2_NSGA2-10-10-200-100-0.2;-104.23999750812314;-104.24;2.390518885029231E-8;2010
f2_5_2_GBPSO-200-10;-104.23999999998998;-104.24;9.611140228528296E-14;2000
f3_1_2_RS-200-10;-456.03005344881547;-462.09;0.01320077157321855;2000
f3_1_2_GD-200-10--1.0;-457.11520970302786;-462.09;0.010824112492964106;601
f3_1_2_NGD-20-10-10--1.0;-460.1000818173844;-462.09;0.0043156356197064484;2642
f3_1_2_NSGA2-10-10-10-19;-457.4674087380184;-462.09;0.01005394816692423;2000
f3_1_2_KalmanNSGA2-10-10-0.5-1.0;-456.88102018758013;-462.09;0.011336548591829558;2000
f3_1_2_NSGA2-10-10-200-100-0.2;-453.49236171741677;-462.09;0.018780698803450215;2010
f3_1_2_GBPSO-200-10;-462.09;-462.09;0.0;2000
f3_2_2_RS-200-10;85.02843954208265;77.66;0.09058344357868968;2000
f3_2_2_GD-200-10--1.0;82.63479026385221;77.66;0.062070517147356966;1081
f3_2_2_NGD-20-10-10--1.0;111.48832427438954;77.66;0.35769097510286385;2642
f3_2_2_NSGA2-10-10-10-19;86.23679422098552;77.66;0.10466091495873003;2000
f3_2_2_KalmanNSGA2-10-10-0.5-1.0;78.81196258741602;77.66;0.014724204494750388;2000
f3_2_2_NSGA2-10-10-200-100-0.2;86.61460131331481;77.66;0.10901991228986195;2010
f3_2_2_GBPSO-200-10;77.66000000000003;77.66;3.6597617087823853E-16;2000
f3_3_2_RS-200-10;122.09475916586214;115.68;0.053956603201834874;2000
f3_3_2_GD-200-10--1.0;123.63966242617543;115.68;0.06651908452052742;1111
f3_3_2_NGD-20-10-10--1.0;117.66991819704351;115.68;0.01705522943756249;2402
f3_3_2_NSGA2-10-10-10-19;173.72845551094727;115.68;0.4011524501484477;2000
f3_3_2_KalmanNSGA2-10-10-0.5-1.0;146.44303326145558;115.68;0.23472209121562296;2000
f3_3_2_NSGA2-10-10-200-100-0.2;116.67624345704313;115.68;0.008575138263735115;2010
f3_3_2_GBPSO-200-10;115.6800000000385;115.68;3.327905033149708E-13;2000
